Date,Nifty_Open,Nifty_Close,DowJones_Open,DowJones_Close,Nasdaq_Open,Nasdaq_Close,HangSeng_Open,HangSeng_Close,Nikkei_Open,Nikkei_Close,DAX_Open,DAX_Close,VIX_Open,VIX_Close
2019-01-01,10868.849609375,10792.5,23058.609375,23346.240234375,6506.91015625,6665.93994140625,25824.439453125,25130.349609375,19655.130859375,19561.9609375,10477.76953125,10580.1904296875,27.540000915527344,23.219999313354492
2019-01-02,10868.849609375,10792.5,23058.609375,23346.240234375,6506.91015625,6665.93994140625,25824.439453125,25130.349609375,19655.130859375,19561.9609375,10477.76953125,10580.1904296875,27.540000915527344,23.219999313354492
2019-01-03,10796.7998046875,10672.25,23176.390625,22686.220703125,6584.77001953125,6463.5,25077.6796875,25064.359375,19655.130859375,19561.9609375,10467.1103515625,10416.66015625,25.68000030517578,25.450000762939453
2019-01-04,10699.7001953125,10727.349609375,22894.919921875,23433.16015625,6567.14013671875,6738.85986328125,24946.119140625,25626.029296875,19655.130859375,19561.9609375,10533.9404296875,10767.6904296875,24.360000610351562,21.3799991607666
2019-01-05,10734.75,10742.166341145834,23088.033203125,23465.889973958332,6630.603352864583,6767.063313802083,25302.692708333332,25695.919270833332,19751.623697916668,19720.964192708332,10627.423502604166,10761.0634765625,23.593333562215168,21.38666598002116
2019-01-06,10769.7998046875,10756.983072916666,23281.146484375,23498.619791666668,6694.066569010417,6795.266764322917,25659.266276041668,25765.809244791668,19848.116536458332,19879.967447916668,10720.906575520834,10754.4365234375,22.826666514078777,21.393332799275715
2019-01-07,10804.849609375,10771.7998046875,23474.259765625,23531.349609375,6757.52978515625,6823.47021484375,26015.83984375,25835.69921875,19944.609375,20038.970703125,10814.3896484375,10747.8095703125,22.059999465942383,21.399999618530273
2019-01-08,10786.25,10802.150390625,23680.3203125,23787.44921875,6893.43994140625,6897.0,25852.5,25875.44921875,20224.669921875,20204.0390625,10750.1904296875,10803.98046875,20.959999084472656,20.469999313354492
2019-01-09,10862.400390625,10855.150390625,23844.26953125,23879.119140625,6923.06005859375,6957.080078125,26237.2890625,26462.3203125,20366.30078125,20427.060546875,10884.75,10893.3203125,20.440000534057617,19.979999542236328
2019-01-10,10859.349609375,10821.599609375,23811.109375,24001.919921875,6908.64990234375,6986.06982421875,26391.779296875,26521.4296875,20270.880859375,20163.80078125,10843.8896484375,10921.58984375,20.979999542236328,19.5
2019-01-11,10834.75,10794.9501953125,23940.009765625,23995.94921875,6947.4599609375,6971.47998046875,26692.01953125,26667.26953125,20296.44921875,20359.69921875,10949.1298828125,10887.4599609375,19.68000030517578,18.190000534057617
2019-01-12,10825.5,10775.833333333334,23920.182942708332,23967.24609375,6934.316569010417,6949.626627604167,26647.90625,26544.289713541668,20288.5419921875,20408.5966796875,10906.369791666666,10876.943359375,19.733333587646484,18.483333587646484
2019-01-13,10816.25,10756.716471354166,23900.356119791668,23938.54296875,6921.173177083333,6927.773274739583,26603.79296875,26421.309895833332,20280.634765625,20457.494140625,10863.609700520834,10866.4267578125,19.786666870117188,18.77666664123535
2019-01-14,10807.0,10737.599609375,23880.529296875,23909.83984375,6908.02978515625,6905.919921875,26559.6796875,26298.330078125,20272.7275390625,20506.3916015625,10820.849609375,10855.91015625,19.84000015258789,19.06999969482422
2019-01-15,10777.5498046875,10886.7998046875,23914.109375,24065.58984375,6931.39013671875,7023.830078125,26518.619140625,26830.2890625,20264.8203125,20555.2890625,10962.9501953125,10891.7900390625,18.530000686645508,18.600000381469727
2019-01-16,10899.650390625,10890.2998046875,24139.91015625,24207.16015625,7033.75,7034.68994140625,26702.9296875,26902.099609375,20575.720703125,20442.75,10940.3603515625,10931.240234375,18.079999923706055,19.040000915527344
2019-01-17,10920.849609375,10905.2001953125,24147.08984375,24370.099609375,7010.1298828125,7084.4599609375,26953.2109375,26755.630859375,20544.23046875,20402.26953125,10852.5,10918.6201171875,19.510000228881836,18.059999465942383
2019-01-18,10914.849609375,10906.9501953125,24534.189453125,24706.349609375,7134.10009765625,7157.22998046875,26993.439453125,27090.810546875,20472.810546875,20666.0703125,11001.3095703125,11205.5400390625,17.799999237060547,17.799999237060547
2019-01-19,10916.349609375,10925.25,24552.58203125,24630.88232421875,7127.967529296875,7123.012451171875,27040.3828125,27126.053385416668,20598.000651041668,20683.823567708332,11059.579752604166,11182.4267578125,17.982499599456787,18.549999237060547
2019-01-20,10917.849609375,10943.5498046875,24570.974609375,24555.4150390625,7121.8349609375,7088.794921875,27087.326171875,27161.296223958332,20723.190755208332,20701.576822916668,11117.849934895834,11159.3134765625,18.164999961853027,19.299999237060547
2019-01-21,10919.349609375,10961.849609375,24589.3671875,24479.94775390625,7115.702392578125,7054.577392578125,27134.26953125,27196.5390625,20848.380859375,20719.330078125,11176.1201171875,11136.2001953125,18.347500324249268,20.049999237060547
2019-01-22,10949.7998046875,10922.75,24607.759765625,24404.48046875,7109.56982421875,7020.35986328125,27189.400390625,27005.44921875,20770.060546875,20622.91015625,11076.98046875,11090.1103515625,18.530000686645508,20.799999237060547
2019-01-23,10931.0498046875,10831.5,24577.25,24575.619140625,7061.64990234375,7025.77001953125,26879.91015625,27008.19921875,20453.439453125,20593.720703125,11043.6396484375,11071.5400390625,20.850000381469727,19.520000457763672
2019-01-24,10844.0498046875,10849.7998046875,24579.9609375,24553.240234375,7042.25,7073.4599609375,27075.369140625,27120.98046875,20506.240234375,20574.630859375,11045.6396484375,11130.1796875,19.690000534057617,18.889999389648438
2019-01-25,10859.75,10780.5498046875,24687.2109375,24737.19921875,7128.18017578125,7164.85986328125,27282.880859375,27569.189453125,20598.640625,20773.560546875,11234.0498046875,11281.7900390625,18.43000030517578,17.420000076293945
2019-01-26,10837.316731770834,10740.883138020834,24657.134114583332,24667.539713541668,7110.456705729167,7138.466634114583,27420.524088541668,27571.779947916668,20647.856770833332,20732.040364583332,11233.753255208334,11257.963216145834,18.47333335876465,17.90333366394043
2019-01-27,10814.883463541666,10701.216471354166,24627.057291666668,24597.880208333332,7092.733235677083,7112.073404947917,27558.167317708332,27574.370442708332,20697.072916666668,20690.520182291668,11233.456705729166,11234.136393229166,18.516666412353516,18.386667251586914
2019-01-28,10792.4501953125,10661.5498046875,24596.98046875,24528.220703125,7075.009765625,7085.68017578125,27695.810546875,27576.9609375,20746.2890625,20649.0,11233.16015625,11210.3095703125,18.559999465942383,18.8700008392334
