Date,Open,Close
2019-01-02,10868.849609375,10792.5
2019-01-03,10796.7998046875,10672.25
2019-01-04,10699.7001953125,10727.349609375
2019-01-07,10804.849609375,10771.7998046875
2019-01-08,10786.25,10802.150390625
2019-01-09,10862.400390625,10855.150390625
2019-01-10,10859.349609375,10821.599609375
2019-01-11,10834.75,10794.9501953125
2019-01-14,10807.0,10737.599609375
2019-01-15,10777.5498046875,10886.7998046875
2019-01-16,10899.650390625,10890.2998046875
2019-01-17,10920.849609375,10905.2001953125
2019-01-18,10914.849609375,10906.9501953125
2019-01-21,10919.349609375,10961.849609375
2019-01-22,10949.7998046875,10922.75
2019-01-23,10931.0498046875,10831.5
2019-01-24,10844.0498046875,10849.7998046875
2019-01-25,10859.75,10780.5498046875
2019-01-28,10792.4501953125,10661.5498046875
2019-01-29,10653.7001953125,10652.2001953125
2019-01-30,10702.25,10651.7998046875
2019-01-31,10690.5498046875,10830.9501953125
2019-02-01,10851.349609375,10893.650390625
2019-02-04,10876.75,10912.25
2019-02-05,10908.650390625,10934.349609375
2019-02-06,10965.099609375,11062.4501953125
2019-02-07,11070.4501953125,11069.400390625
2019-02-08,11023.5,10943.599609375
2019-02-11,10930.900390625,10888.7998046875
2019-02-12,10879.7001953125,10831.400390625
2019-02-14,10786.099609375,10746.0498046875
2019-02-15,10780.25,10724.400390625
2019-02-18,10738.650390625,10640.9501953125
2019-02-19,10636.7001953125,10604.349609375
2019-02-20,10655.4501953125,10735.4501953125
2019-02-21,10744.099609375,10789.849609375
2019-02-22,10782.7001953125,10791.650390625
2019-02-25,10813.25,10880.099609375
2019-02-26,10775.2998046875,10835.2998046875
2019-02-27,10881.2001953125,10806.650390625
2019-02-28,10865.7001953125,10792.5
2019-03-01,10842.650390625,10863.5
2019-03-05,10864.849609375,10987.4501953125
2019-03-06,11024.849609375,11053.0
2019-03-07,11077.9501953125,11058.2001953125
2019-03-08,11038.849609375,11035.400390625
2019-03-11,11068.75,11168.0498046875
2019-03-12,11231.349609375,11301.2001953125
2019-03-13,11326.2001953125,11341.7001953125
2019-03-14,11382.5,11343.25
2019-03-15,11376.849609375,11426.849609375
2019-03-18,11473.849609375,11462.2001953125
2019-03-19,11500.2998046875,11532.400390625
2019-03-20,11553.349609375,11521.0498046875
2019-03-22,11549.2001953125,11456.900390625
2019-03-25,11395.650390625,11354.25
2019-03-26,11375.2001953125,11483.25
2019-03-27,11531.4501953125,11445.0498046875
2019-03-28,11463.650390625,11570.0
2019-04-01,11665.2001953125,11669.150390625
2019-04-02,11711.5498046875,11713.2001953125
2019-04-03,11735.2998046875,11643.9501953125
2019-04-04,11660.2001953125,11598.0
2019-04-05,11638.400390625,11665.9501953125
2019-04-08,11704.349609375,11604.5
2019-04-09,11612.0498046875,11671.9501953125
2019-04-10,11646.849609375,11584.2998046875
2019-04-11,11592.5498046875,11596.7001953125
2019-04-12,11612.849609375,11643.4501953125
2019-04-15,11667.0,11690.349609375
2019-04-16,11736.2001953125,11787.150390625
2019-04-18,11856.150390625,11752.7998046875
2019-04-22,11727.0498046875,11594.4501953125
2019-04-23,11612.9501953125,11575.9501953125
2019-04-24,11601.5,11726.150390625
2019-04-25,11735.7001953125,11641.7998046875
2019-04-26,11683.75,11754.650390625
2019-04-30,11748.75,11748.150390625
2019-05-02,11725.5498046875,11724.75
2019-05-03,11722.599609375,11712.25
2019-05-06,11605.7998046875,11598.25
2019-05-07,11651.5,11497.900390625
2019-05-08,11478.7001953125,11359.4501953125
2019-05-09,11322.400390625,11301.7998046875
2019-05-10,11314.150390625,11278.900390625
2019-05-13,11258.7001953125,11148.2001953125
2019-05-14,11151.650390625,11222.0498046875
2019-05-15,11271.7001953125,11157.0
2019-05-16,11180.349609375,11257.099609375
2019-05-17,11261.900390625,11407.150390625
2019-05-20,11651.900390625,11828.25
2019-05-21,11863.650390625,11709.099609375
2019-05-22,11727.9501953125,11737.900390625
2019-05-23,11901.2998046875,11657.0498046875
2019-05-24,11748.0,11844.099609375
2019-05-27,11855.5,11924.75
2019-05-28,11958.349609375,11928.75
2019-05-29,11905.7998046875,11861.099609375
2019-05-30,11865.2998046875,11945.900390625
2019-05-31,11999.7998046875,11922.7998046875
2019-06-03,11953.75,12088.5498046875
2019-06-04,12052.650390625,12021.650390625
2019-06-06,12039.7998046875,11843.75
2019-06-07,11865.2001953125,11870.650390625
2019-06-10,11934.900390625,11922.7001953125
2019-06-11,11959.849609375,11965.599609375
2019-06-12,11962.4501953125,11906.2001953125
2019-06-13,11873.900390625,11914.0498046875
2019-06-14,11910.099609375,11823.2998046875
2019-06-17,11844.0,11672.150390625
